RevenueID,ME_DATE_SEIZEDDEFENDANT_S_NAME,ME_DATE_RECEIVED,ME_DEFENDANT_S_NAME,ME_DOCKET_NO,ME_ASSETS_SEIZED,ME_CURRENCY_SEIZED,ME_DISTRIBUTION_BY_AGENCY,ME_PROSECUTOR,ME_DATE_OF_FINAL_ORDER,ME_sheet,ME_position_1,ID,STATE,RevenueID2,YEAR,UNIT_TYPE,PROP_TYPE,REV,PROCD_TYPE,CONV_TYPE,CASE_NO
231,,2/24/2014 0:00,REDACTION,YORSCCR-14-65,"$19,835.00 ",,"$14,289.50 MDEA; $5,545.50 Biddeford PD","Raphaelle Silver, AAG",4/6/2016,1,1,1,ME,231,2016,PROPERTY,CURRENCY,19835,,,YORSCCR-14-65
232,9/29/2013,7/28/2014 0:00,REDACTION,HANCR-13-134,"$28,000.00 ",,"$26,865.00 Bar Harbor PD","Carletta Bassano, DA",N/A,1,2,2,ME,232,,OTHER,,,,,HANCR-13-134
233,,,,,,,$515.00 - Court fees ordered,,,1,3,3,ME,233,,OTHER,,,,,
234,,,,,,,$600.00 rest. Bar Harbor PD,,,1,4,4,ME,234,,OTHER,,,,,
235,,,,,2004 Harley Davidson,,Bar Harbor PD,,,1,5,5,ME,235,,OTHER,,,,,
236,5/23/2014,7/28/2014 0:00,REDACTION,LEWDC-CR-14-1626,"$1,489.00 ",,Lewiston PD 100%,"Clair Andrews, ADA",11/3/2014,1,6,6,ME,236,2014,OTHER,CURRENCY,1489,,,LEWDC-CR-14-1626
237,7/21/2014,7/29/2014 0:00,REDACTION,PENCR-14-2657,$908.00 ,,MDEA 100%,"Pat Larson, AAG",3/11/2015,1,7,7,ME,237,2015,PROPERTY,CURRENCY,908,,,PENCR-14-2657
238,2/6/2014,7/30/2014 0:00,REDACTION,PENCR-14-477,$512.00 ,,Bangor PD 100%,"Pat Larson, AAG",9/26/2014,1,8,8,ME,238,2014,OTHER,CURRENCY,512,,,PENCR-14-477
239,2/6/2014,7/30/2014 0:00,REDACTION,PENCR-14-476,$512.00 ,,Bangor PD 100%,"Pat Larson, AAG",9/26/2014,1,9,9,ME,239,2014,OTHER,CURRENCY,512,,,PENCR-14-476
2310,5/9/2013,7/30/2014 0:00,REDACTION,CARSC-CR-13-272,"$7,751.00 ",,"Caribou PD $2,000/MDEA $5,751.00","Kurt Kafferlin, ADA",N/A,1,10,10,ME,2310,,OTHER,,,,,CARSC-CR-13-272
